time_s,temperature_humidity,temperature_pressure,pressure,humidity,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,led_r,led_g,led_b
3,726.798,726.798,4.12321254e-10,0,0,0,0,0.2581768,-0.2626111,0.1710489,-27.9117385,12.227777,17.1046167,255,0,0
3.05,726.798,726.798,4.14086741e-10,0,0,0,0,0.2410726,-0.2493611,0.1825804,-27.5871702,12.6906334,17.3080296,255,0,0
3.1,726.798,726.798,4.15859787e-10,0,0,0,0,0.2237044,-0.2358123,0.1931595,-27.2604685,13.1532999,17.4942927,255,0,0
3.15,726.797,726.797,4.17640425e-10,0,0,0,0,0.2060749,-0.2220304,0.202809,-26.9324504,13.613378,17.664448,255,0,0
3.2,726.797,726.797,4.19428687e-10,0,0,0,0,0.1881867,-0.2080772,0.2115556,-26.6039119,14.0686039,17.8196838,255,0,0
3.25,726.797,726.797,4.21224607e-10,0,0,0,0,0.1700432,-0.1940098,0.2194291,-26.2756273,14.5168521,17.9613128,255,0,0
3.3,726.796,726.796,4.23028216e-10,0,0,0,0,0.1516479,-0.1798812,0.2264625,-25.9483494,14.9561365,18.0907494,255,0,0
3.35,726.796,726.796,4.24839548e-10,0,0,0,0,0.1330046,-0.1657402,0.232691,-25.6228089,15.3846098,18.2094895,255,0,0
3.4,726.796,726.796,4.26658636e-10,0,0,0,0,0.1141173,-0.1516313,0.2381519,-25.2997141,15.800561,18.3190896,255,0,0
3.45,726.795,726.795,4.28485513e-10,0,0,0,0,0.0949907,-0.1375947,0.2428842,-24.9797517,16.2024111,18.4211481,255,0,0
3.5,726.795,726.795,4.30320212e-10,0,0,0,0,0.0756293,-0.1236669,0.2469283,-24.6635857,16.5887076,18.5172866,255,0,0
3.55,726.794,726.794,4.32162767e-10,0,0,0,0,0.0560381,-0.1098803,0.2503255,-24.3518584,16.9581178,18.6091333,255,0,0
3.6,726.794,726.794,4.34013212e-10,0,0,0,0,0.0362226,-0.0962635,0.2531176,-24.0451902,17.3094208,18.6983068,255,0,0
3.65,726.794,726.794,4.35871579e-10,0,0,0,0,0.0161882,-0.0828418,0.2553473,-23.7441798,17.6414994,18.7864011,255,0,0
3.7,726.793,726.793,4.37737904e-10,0,0,0,0,-0.0040593,-0.069637,0.2570569,-23.4494044,17.9533312,18.8749724,255,0,0
3.75,726.793,726.793,4.39612221e-10,0,0,0,0,-0.0245137,-0.0566677,0.258289,-23.1614205,18.2439785,18.9655258,255,0,0
3.8,726.793,726.793,4.41494562e-10,0,0,0,0,-0.0451686,-0.0439496,0.2590858,-22.8807635,18.5125797,19.0595043,255,0,0
3.85,726.792,726.792,4.43384964e-10,0,0,0,0,-0.0660175,-0.0314956,0.2594892,-22.6079485,18.7583391,19.1582781,255,0,0
3.9,726.792,726.792,4.4528346e-10,0,0,0,0,-0.0870535,-0.0193162,0.2595403,-22.3434707,18.9805177,19.2631346,255,0,0
3.95,726.792,726.792,4.47190085e-10,0,0,0,0,-0.1082696,-0.0074196,0.2592797,-22.0878059,19.1784239,19.3752702,255,0,0
4,726.791,726.791,4.49104874e-10,0,0,0,0,-0.1296583,0.0041883,0.2587469,-21.8414103,19.3514049,19.4957817,255,0,0
4.05,726.791,726.791,4.51027862e-10,0,0,0,0,-0.1512121,0.0155032,0.2579808,-21.6047218,19.4988384,19.6256595,255,0,0
4.1,726.79,726.79,4.52959083e-10,0,0,0,0,-0.1729233,0.0265227,0.257019,-21.3781597,19.6201251,19.7657809,255,0,0
4.15,726.79,726.79,4.54898574e-10,0,0,0,0,-0.1947837,0.0372456,0.2558982,-21.1621253,19.7146817,19.9169036,255,0,0
4.2,726.79,726.79,4.56846369e-10,0,0,0,0,-0.2167852,0.0476721,0.2546541,-20.9570026,19.7819351,20.0796609,255,0,0
4.25,726.789,726.789,4.58802504e-10,0,0,0,0,-0.2389193,0.0578033,0.2533209,-20.763158,19.8213169,20.2545561,255,0,0
4.3,726.789,726.789,4.60767016e-10,0,0,0,0,-0.2611772,0.0676413,0.2519319,-20.5809414,19.8322599,20.441958,255,0,0
4.35,726.789,726.789,4.62739939e-10,0,0,0,0,-0.2835502,0.0771887,0.2505192,-20.4106856,19.8141943,20.6420966,255,0,0
4.4,726.788,726.788,4.64721309e-10,0,0,0,0,-0.3060291,0.0864489,0.2491136,-20.2527075,19.7665461,20.8550593,255,0,0
4.45,726.788,726.788,4.66711164e-10,0,0,0,0,-0.3286046,0.0954251,0.2477447,-20.1073076,19.6887361,21.0807873,255,0,0
4.5,726.788,726.788,4.68709538e-10,0,0,0,0,-0.3512672,0.1041212,0.2464409,-19.9747703,19.5801803,21.3190719,255,0,0
4.55,726.787,726.787,4.7071647e-10,0,0,0,0,-0.3740072,0.1125408,0.2452294,-19.8553644,19.4402913,21.569552,255,0,0
4.6,726.787,726.787,4.72731994e-10,0,0,0,0,-0.3968146,0.1206873,0.2441363,-19.7493427,19.2684811,21.8317114,255,0,0
4.65,726.787,726.787,4.74756149e-10,0,0,0,0,-0.4196794,0.1285642,0.2431864,-19.6569422,19.064165,22.1048761,255,0,0
4.7,726.786,726.786,4.76788971e-10,0,0,0,0,-0.4425912,0.1361744,0.2424033,-19.5783838,18.826767,22.3882132,255,0,0
4.75,726.786,726.786,4.78830497e-10,0,0,0,0,-0.4655395,0.1435201,0.2418096,-19.5138728,18.5557263,22.6807289,255,0,0
4.8,726.785,726.785,4.80880764e-10,0,0,0,0,-0.4885135,0.1506033,0.2414265,-19.463598,18.250505,22.9812679,255,0,0
4.85,726.785,726.785,4.82939811e-10,0,0,0,0,-0.5115025,0.1574251,0.2412743,-19.4277316,17.9105968,23.2885135,255,0,0
4.9,726.785,726.785,4.85007674e-10,0,0,0,0,-0.5344952,0.1639858,0.241372,-19.4064295,17.5355378,23.6009875,255,0,0
4.95,726.784,726.784,4.87084391e-10,0,0,0,0,-0.5574805,0.170285,0.2417375,-19.3998298,17.124917,23.9170523,255,0,0
5,726.784,726.784,4.8917e-10,0,0,0,0,-0.5804468,0.1763211,0.2423875,-19.4080535,16.6783893,24.2349127,255,0,0
5.05,726.783,726.783,4.91711352e-10,0,0,0,0,-0.6033824,0.1820918,0.2433377,-19.4312031,16.1956886,24.5526194,255,0,0
5.1,726.782,726.782,4.94265907e-10,0,0,0,0,-0.6262755,0.1875936,0.2446026,-19.4693625,15.6766421,24.8680736,255,0,0
5.15,726.782,726.782,4.96833733e-10,0,0,0,0,-0.6491141,0.192822,0.2461954,-19.5225961,15.1211851,25.179033,255,0,0
5.2,726.781,726.781,4.994149e-10,0,0,0,0,-0.671886,0.1977714,0.2481283,-19.5909481,14.5293774,25.4831187,255,0,0
5.25,726.78,726.78,5.02009476e-10,0,0,0,0,-0.6945787,0.2024348,0.2504122,-19.6744419,13.9014185,25.7778248,255,0,0
5.3,726.779,726.779,5.04617532e-10,0,0,0,0,-0.7171796,0.2068044,0.2530569,-19.7730791,13.2376654,26.0605283,255,0,0
5.35,726.778,726.778,5.07239137e-10,0,0,0,0,-0.7396761,0.210871,0.256071,-19.8868384,12.538648,26.3285023,255,0,0
5.4,726.778,726.778,5.09874362e-10,0,0,0,0,-0.7620552,0.2146242,0.2594616,-20.0156752,11.8050869,26.5789295,255,0,0
5.45,726.777,726.777,5.12523278e-10,0,0,0,0,-0.7843039,0.2180525,0.2632347,-20.1595199,11.0379086,26.8089197,255,0,0
5.5,726.776,726.776,5.15185956e-10,0,0,0,0,-0.8064088,0.221143,0.2673949,-20.3182776,10.2382623,27.0155273,255,0,0
5.55,726.775,726.775,5.17862467e-10,0,0,0,0,-0.8283566,0.223882,0.2719455,-20.4918263,9.4075339,27.1957726,255,0,0
5.6,726.774,726.774,5.20552882e-10,0,0,0,0,-0.8501337,0.2262542,0.2768883,-20.6800164,8.5473601,27.3466646,255,0,0
5.65,726.773,726.773,5.23257276e-10,0,0,0,0,-0.8717265,0.2282434,0.2822236,-20.882669,7.6596406,27.4652259,255,0,0
5.7,726.773,726.773,5.25975719e-10,0,0,0,0,-0.8931212,0.2298323,0.2879504,-21.0995753,6.7465485,27.5485199,255,0,0
5.75,726.772,726.772,5.28708285e-10,0,0,0,0,-0.9143037,0.2310024,0.2940658,-21.3304951,5.8105385,27.5936802,255,0,0
5.8,726.771,726.771,5.31455047e-10,0,0,0,0,-0.9352601,0.2317343,0.3005656,-21.5751555,4.8543528,27.5979415,255,0,0
5.85,726.77,726.77,5.3421608e-10,0,0,0,0,-0.9559762,0.2320074,0.3074435,-21.8332503,3.8810239,27.5586727,255,0,0
5.9,726.769,726.769,5.36991456e-10,0,0,0,0,-0.9764376,0.2318004,0.3146919,-22.1044383,2.8938745,27.4734112,255,0,0
5.95,726.769,726.769,5.39781252e-10,0,0,0,0,-0.9966301,0.2310909,0.3223009,-22.3883425,1.8965135,27.3398989,255,0,0
6,726.768,726.768,5.42585541e-10,0,0,0,0,-1.0165393,0.229856,0.3302589,-22.6845488,0.8928287,27.1561185,255,0,0
6.05,726.767,726.767,5.45404399e-10,0,0,0,0,-1.0361505,0.2280717,0.3385524,-22.9926053,-0.1130252,26.920331,255,0,0
6.1,726.766,726.766,5.48237901e-10,0,0,0,0,-1.0554494,0.2257137,0.3471655,-23.3120209,-1.1166427,26.6311129,255,0,0
6.15,726.765,726.765,5.51086125e-10,0,0,0,0,-1.0744214,0.2227569,0.3560805,-23.642265,-2.1133881,26.2873932,255,0,0
6.2,726.765,726.765,5.53949145e-10,0,0,0,0,-1.0930518,0.219176,0.3652771,-23.9827658,-3.0984213,25.8884897,255,0,0
6.25,726.764,726.764,5.5682704e-10,0,0,0,0,-1.1113261,0.214945,0.3747327,-24.3329105,-4.0667278,25.4341436,255,0,0
6.3,726.763,726.763,5.59719886e-10,0,0,0,0,-1.1292299,0.2100382,0.3844224,-24.692044,-5.0131542,24.9245517,255,0,0
6.35,726.762,726.762,5.62627761e-10,0,0,0,0,-1.1467484,0.2044296,0.3943186,-25.0594687,-5.9324484,24.360397,255,0,0
6.4,726.761,726.761,5.65550743e-10,0,0,0,0,-1.1638674,0.1980932,0.404391,-25.4344442,-6.8193045,23.7428746,255,0,0
6.45,726.761,726.761,5.6848891e-10,0,0,0,0,-1.1805725,0.1910035,0.4146067,-25.8161865,-7.6684124,23.0737144,255,0,0
6.5,726.76,726.76,5.71442342e-10,0,0,0,0,-1.1968493,0.1831356,0.4249298,-26.2038687,-8.4745112,22.3551984,255,0,0
6.55,726.759,726.759,5.74411118e-10,0,0,0,0,-1.2126838,0.1744649,0.4353216,-26.5966203,-9.2324472,21.5901734,255,0,0
6.6,726.758,726.758,5.77395317e-10,0,0,0,0,-1.228062,0.1649682,0.4457402,-26.9935278,-9.9372344,20.7820568,255,0,0
6.65,726.757,726.757,5.8039502e-10,0,0,0,0,-1.24297,0.1546231,0.4561409,-27.3936352,-10.5841185,19.934836,255,0,0
6.7,726.756,726.756,5.83410307e-10,0,0,0,0,-1.2573942,0.1434089,0.4664756,-27.7959442,-11.1686425,19.0530608,255,0,0
6.75,726.756,726.756,5.86441259e-10,0,0,0,0,-1.2713213,0.1313066,0.4766932,-28.1994154,-11.6867132,18.1418276,255,0,0
6.8,726.755,726.755,5.89487958e-10,0,0,0,0,-1.284738,0.1182993,0.4867392,-28.6029689,-12.1346688,17.2067557,255,0,0
6.85,726.754,726.754,5.92550485e-10,0,0,0,0,-1.2976316,0.1043725,0.4965562,-29.0054859,-12.509345,16.2539553,255,0,0
6.9,726.753,726.753,5.95628922e-10,0,0,0,0,-1.3099893,0.0895144,0.5060833,-29.4058096,-12.80814,15.2899867,255,0,0
6.95,726.752,726.752,5.98723353e-10,0,0,0,0,-1.3217991,0.0737164,0.5152568,-29.8027473,-13.0290765,14.3218109,255,0,0
7,726.752,726.752,6.0183386e-10,0,0,0,0,-1.333049,0.0569734,0.5240097,-30.1950721,-13.1708591,13.3567314,255,0,0
7.05,726.751,726.751,6.04960526e-10,0,0,0,0,-1.3437276,0.0392843,0.5322725,-30.581525,-13.2329276,12.4023283,255,0,0
7.1,726.75,726.75,6.08103437e-10,0,0,0,0,-1.3538236,0.0206522,0.5399725,-30.9608171,-13.2155027,11.466384,255,0,0
7.15,726.749,726.749,6.11262676e-10,0,0,0,0,-1.3633266,0.0010852,0.547035,-31.3316324,-13.1196254,10.5568015,255,0,0
7.2,726.748,726.748,6.14438327e-10,0,0,0,0,-1.3722262,-0.0194037,0.5533828,-31.6926304,-12.9471871,9.6815168,255,0,0
7.25,726.748,726.748,6.17630477e-10,0,0,0,0,-1.3805129,-0.0407956,0.5589369,-32.0424491,-12.7009496,8.8484049,255,0,0
7.3,726.747,726.747,6.20839211e-10,0,0,0,0,-1.3881775,-0.063066,0.5636168,-32.3797084,-12.3845557,8.065182,255,0,0
7.35,726.746,726.746,6.24064615e-10,0,0,0,0,-1.3952113,-0.0861837,0.567341,-32.7030135,-12.0025271,7.3393038,255,0,0
7.4,726.745,726.745,6.27306776e-10,0,0,0,0,-1.4016063,-0.1101109,0.5700271,-33.0109586,-11.5602513,6.6778622,255,0,0
7.45,726.744,726.744,6.3056578e-10,0,0,0,0,-1.4073551,-0.1348027,0.5715931,-33.3021305,-11.0639547,6.0874815,255,0,0
7.5,726.743,726.743,6.33841716e-10,0,0,0,0,-1.4124508,-0.1602068,0.5719574,-33.5751131,-10.520664,5.5742158,255,0,0
7.55,726.743,726.743,6.37134671e-10,0,0,0,0,-1.4168874,-0.1862634,0.5710394,-33.8284914,-9.9381534,5.1434494,255,0,0
7.6,726.742,726.742,6.40444734e-10,0,0,0,0,-1.4206592,-0.2129049,0.5687609,-34.060856,-9.3248799,4.7998013,255,0,0
7.65,726.741,726.741,6.43771993e-10,0,0,0,0,-1.4237615,-0.2400557,0.5650459,-34.2708076,-8.6899055,4.5470368,255,0,0
7.7,726.74,726.74,6.47116538e-10,0,0,0,0,-1.4261902,-0.2676324,0.5598222,-34.4569619,-8.0428073,4.3879867,255,0,0
7.75,726.739,726.739,6.50478459e-10,0,0,0,0,-1.4279419,-0.2955436,0.5530219,-34.6179539,-7.3935773,4.3244758,255,0,0
7.8,726.739,726.739,6.53857846e-10,0,0,0,0,-1.4290139,-0.3236902,0.5445822,-34.7524437,-6.752511,4.3572638,255,0,0
7.85,726.738,726.738,6.57254789e-10,0,0,0,0,-1.4294044,-0.3519656,0.5344463,-34.8591207,-6.1300887,4.4859978,255,0,0
7.9,726.737,726.737,6.6066938e-10,0,0,0,0,-1.4291123,-0.3802558,0.5225643,-34.936709,-5.5368481,4.7091795,255,0,0
7.95,726.736,726.736,6.64101711e-10,0,0,0,0,-1.4281372,-0.40844,0.5088943,-34.9839725,-4.9832533,5.0241474,255,0,0
8,726.735,726.735,6.67551874e-10,0,0,0,0,-1.4264796,-0.4363912,0.4934029,-34.9997199,-4.4795585,5.427075,255,0,0
8.05,726.735,726.735,6.71019961e-10,0,0,0,0,-1.4241408,-0.4639767,0.476066,-34.98281,-4.0356716,5.9129854,255,0,0
8.1,726.734,726.734,6.74506066e-10,0,0,0,0,-1.4211227,-0.4910588,0.4568701,-34.9321563,-3.6610178,6.4757831,255,0,0
8.15,726.733,726.733,6.78010282e-10,0,0,0,0,-1.4174284,-0.5174957,0.4358123,-34.8467326,-3.364406,7.1083026,255,0,0
8.2,726.732,726.732,6.81532703e-10,0,0,0,0,-1.4130613,-0.5431424,0.4129014,-34.7255772,-3.1539013,7.8023738,255,0,0
8.25,726.731,726.731,6.85073423e-10,0,0,0,0,-1.4080261,-0.567852,0.3881585,-34.5677981,-3.0367034,8.5489039,255,0,0
8.3,726.731,726.731,6.88632539e-10,0,0,0,0,-1.4023278,-0.5914761,0.3616172,-34.3725776,-3.0190356,9.3379737,255,0,0
8.35,726.73,726.73,6.92210145e-10,0,0,0,0,-1.3959727,-0.6138669,0.3333241,-34.1391763,-3.1060451,10.1589489,255,0,0
8.4,726.729,726.729,6.95806338e-10,0,0,0,0,-1.3889674,-0.6348777,0.303339,-33.8669379,-3.3017162,11.0006036,255,0,0
8.45,726.728,726.728,6.99421213e-10,0,0,0,0,-1.3813197,-0.6543646,0.271735,-33.5552928,-3.6087995,11.8512546,255,0,0
8.5,726.727,726.727,7.03054869e-10,0,0,0,0,-1.3730378,-0.6721875,0.2385984,-33.2037619,-4.0287565,12.6989051,255,0,0
8.55,726.726,726.726,7.06707403e-10,0,0,0,0,-1.3641308,-0.6882119,0.2040287,-32.81196,-4.5617226,13.5313945,255,0,0
8.6,726.726,726.726,7.10378912e-10,0,0,0,0,-1.3546084,-0.7023098,0.1681382,-32.3795994,-5.2064887,14.3365536,255,0,0
8.65,726.725,726.725,7.14069495e-10,0,0,0,0,-1.3444813,-0.7143612,0.1310514,-31.9064918,-5.9605017,15.1023608,255,0,0
8.7,726.724,726.724,7.17779252e-10,0,0,0,0,-1.3337605,-0.7242554,0.0929045,-31.3925518,-6.8198839,15.8170984,255,0,0
8.75,726.723,726.723,7.21508282e-10,0,0,0,0,-1.3224579,-0.7318922,0.0538444,-30.8377984,-7.7794724,16.4695062,255,0,0
8.8,726.722,726.722,7.25256685e-10,0,0,0,0,-1.3105858,-0.7371831,0.0140284,-30.2423567,-8.8328763,17.0489288,255,0,0
8.85,726.722,726.722,7.29024563e-10,0,0,0,0,-1.2981573,-0.7400523,-0.0263778,-29.6064595,-9.9725528,17.5454559,255,0,0
8.9,726.721,726.721,7.32812015e-10,0,0,0,0,-1.285186,-0.7404376,-0.0672004,-28.930448,-11.1898985,17.9500517,255,0,0
8.95,726.72,726.72,7.36619143e-10,0,0,0,0,-1.2716858,-0.7382916,-0.1082593,-28.2147725,-12.4753577,18.2546728,255,0,0
9,726.719,726.719,7.40446051e-10,0,0,0,0,-1.2576715,-0.7335819,-0.1493692,-27.4599921,-13.8185431,18.4523712,255,0,0
9.05,726.718,726.718,7.4429284e-10,0,0,0,0,-1.2431581,-0.7262921,-0.1903412,-26.6667746,-15.2083678,18.5373824,255,0,0
9.1,726.718,726.718,7.48159614e-10,0,0,0,0,-1.2281609,-0.7164218,-0.2309845,-25.8358956,-16.633188,18.5051955,255,0,0
9.15,726.717,726.717,7.52046478e-10,0,0,0,0,-1.2126958,-0.7039872,-0.2711076,-24.968237,-18.0809515,18.3526063,255,0,0
9.2,726.716,726.716,7.55953534e-10,0,0,0,0,-1.196779,-0.6890209,-0.3105201,-24.0647856,-19.5393513,18.0777505,255,0,0
9.25,726.715,726.715,7.59880888e-10,0,0,0,0,-1.1804269,-0.6715721,-0.3490343,-23.1266306,-20.9959816,17.6801189,255,0,0
9.3,726.714,726.714,7.63828646e-10,0,0,0,0,-1.1636561,-0.6517058,-0.3864669,-22.1549611,-22.4384931,17.1605526,255,0,0
9.35,726.714,726.714,7.67796913e-10,0,0,0,0,-1.1464837,-0.6295031,-0.4226403,-21.1510633,-23.8547456,16.5212198,255,0,0
9.4,726.713,726.713,7.71785797e-10,0,0,0,0,-1.1289266,-0.6050598,-0.4573844,-20.1163165,-25.2329555,15.7655747,255,0,0
